"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"23",2,36,"ARI","Budda Baker","S",21,2020,20,50,2017,5.86,70,30.75,195,9,4.45,15,32.5,115,6.76,NA,NA,NA,NA,NA,NA,NA,NA,39,"Washington",270,NA,4.5,5.4,0.09,NA,138,61,13,4,5,62,0,18,0,3,3.53846153846154,1.56410256410256,5.1025641025641,0.333333333333333,0.102564102564103,0.461538461538462,0.0769230769230769,0.128205128205128,6.66666666666667
"24",2,39,"NYJ","Marcus Maye","S",24,2020,14,43,2017,5.84,72,32.5,210,9.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Florida",155,4,2.5,3.6046511627907,0.0581395348837209,0.0930232558139535,121,84,6.5,1,5,37,0,16,2,6,3.025,2.1,5.125,0.1625,0.025,0.4,0.15,0.125,4.66666666666667
"25",2,42,"NOR","Marcus Williams","S",20,2020,16,51,2017,5.87,73,32.5,202,9.5,4.56,14,43.5,129,6.85,NA,NA,NA,NA,NA,NA,NA,NA,34,"Utah",163,11,1,3.19607843137255,0.0196078431372549,0.215686274509804,125,63,4,0,11,114,0,8,2,4,3.67647058823529,1.85294117647059,5.52941176470588,0.117647058823529,0,0.235294117647059,0.117647058823529,0.323529411764706,5.33333333333333
"26",2,50,"TAM","Justin Evans","S",22,2018,8,24,2017,5.82,72,32,199,9.75,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Texas A&M",93,4,NA,3.875,NA,0.166666666666667,99,66,6,0,5,0,0,11,0,0,3.96,2.64,6.6,0.24,0,0.44,0,0.2,2.66666666666667
"27",2,56,"OAK","Obi Melifonwu","S",23,2018,1,7,2017,5.72,76,32.5,224,9.125,4.4,17,44,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Connecticut",9,NA,NA,1.28571428571429,NA,NA,221,128,11,0,8,37,0,16,2,2,4.60416666666667,2.66666666666667,7.27083333333333,0.229166666666667,0,0.333333333333333,0.0416666666666667,0.166666666666667,0.333333333333333
"28",2,61,"GNB","Josh Jones","S",22,2020,5,40,2017,5.88,73,32,220,9.375,4.41,20,37.5,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"North Carolina St.",126,1,3,3.15,0.075,0.025,139,90,8.5,3.5,8,71,0,17,2,3,3.75675675675676,2.43243243243243,6.18918918918919,0.22972972972973,0.0945945945945946,0.459459459459459,0.0810810810810811,0.216216216216216,1.66666666666667
"29",3,91,"LAR","John Johnson","S",21,2020,13,43,2017,5.79,72,32,208,9.875,4.61,14,37,119,6.72,NA,NA,NA,NA,NA,NA,NA,NA,35,"Boston Col.",185,8,NA,4.30232558139535,NA,0.186046511627907,122,45,5.5,2.5,6,47,0,14,3,2,3.48571428571429,1.28571428571429,4.77142857142857,0.157142857142857,0.0714285714285714,0.4,0.0571428571428571,0.171428571428571,4.33333333333333
"30",3,95,"SEA","Delano Hill","S",21,2020,5,42,2017,5.18,73,32.125,216,9.375,4.47,17,33.5,115,6.96,NA,NA,NA,NA,NA,NA,NA,NA,32,"Michigan",41,NA,NA,0.976190476190476,NA,NA,84,33,7,0,3,36,1,5,1,1,2.625,1.03125,3.65625,0.21875,0,0.15625,0.03125,0.09375,1.66666666666667
"31",4,111,"SEA","Tedric Thompson","S",22,2020,8,34,2017,5.57,72,31.5,204,9.625,4.6,17,32.5,117,7.11,NA,NA,NA,NA,NA,NA,NA,NA,46,"Colorado",61,3,NA,1.79411764705882,NA,0.0882352941176471,157,58,7.5,0,13,213,0,26,0,1,3.41304347826087,1.26086956521739,4.67391304347826,0.16304347826087,0,0.565217391304348,0.0217391304347826,0.282608695652174,2.66666666666667
"32",4,112,"CHI","Eddie Jackson","S",24,2020,29,51,2017,5.4,72,32.25,201,9.25,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"Alabama",170,10,2,3.33333333333333,0.0392156862745098,0.196078431372549,94,32,7.5,1,9,303,3,12,3,2,2.47368421052632,0.842105263157895,3.31578947368421,0.197368421052632,0.0263157894736842,0.315789473684211,0.0526315789473684,0.236842105263158,9.66666666666667
