"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"31",4,121,"SFO","Joe Williams","RB",24,NA,NA,NA,2017,5.35,71,30.75,210,9.375,4.41,14,35,125,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,"Utah",NA,314,1884,13,20,191,0,NA,9.6,6,334,NA,13,2075,6.2,1.05263157894737,10.0526315789474,0,16.5263157894737,99.1578947368421,0.684210526315789,109.210526315789,0.684210526315789,NA
"32",4,132,"PHI","Donnel Pumphrey","RB",22,NA,NA,NA,2017,5.33,68,29,176,8.5,4.48,5,33.5,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,"San Diego St.",NA,1059,6405,62,99,1039,5,NA,10.5,6,1158,NA,67,7444,6.4,1.83333333333333,19.2407407407407,0.0925925925925926,19.6111111111111,118.611111111111,1.14814814814815,137.851851851852,1.24074074074074,NA
"33",4,134,"GNB","Jamaal Williams","RB",22,2020,15,50,2017,5.13,72,31.25,212,10,4.59,NA,30,123,7.25,NA,NA,NA,NA,NA,NA,NA,NA,2.08,16.88,0.14,8.2,31.76,0.16,43,410,1588,104,844,7,"BYU",3.87317073170732,726,3901,35,60,567,1,8.11538461538461,9.5,5.4,786,NA,36,4468,5.7,1.3953488372093,13.1860465116279,0.0232558139534884,16.8837209302326,90.7209302325581,0.813953488372093,103.906976744186,0.837209302325581,5
"34",4,140,"NYG","Wayne Gallman","RB",22,2020,7,42,2017,5.51,72,32.625,215,9.125,4.6,21,29.5,120,7.17,NA,NA,NA,NA,NA,NA,NA,NA,1.52380952380952,9.64285714285714,0.0476190476190476,4.90476190476191,19.952380952381,0.0714285714285714,42,206,838,64,405,2,"Clemson",4.06796116504854,675,3416,34,66,486,2,6.328125,7.4,5.1,741,NA,36,3902,5.3,1.57142857142857,11.5714285714286,0.0476190476190476,16.0714285714286,81.3333333333333,0.80952380952381,92.9047619047619,0.857142857142857,2.33333333333333
"35",4,143,"IND","Marlon Mack","RB",21,2020,18,41,2017,5.54,71,32,213,9,4.5,15,35.5,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34146341463415,10.7317073170732,0.0487804878048781,13.1463414634146,58.1219512195122,0.48780487804878,36,539,2383,55,440,2,"South Florida",4.42115027829314,586,3609,32,65,498,1,8,7.7,6.2,651,NA,33,4107,6.3,1.80555555555556,13.8333333333333,0.0277777777777778,16.2777777777778,100.25,0.888888888888889,114.083333333333,0.916666666666667,6
"36",5,156,"ATL","Brian Hill","RB",21,2020,5,34,2017,NA,73,31.375,219,8.875,4.54,15,34,125,7.03,NA,NA,NA,NA,NA,NA,NA,NA,0.647058823529412,5.38235294117647,0.0294117647058824,3.94117647058824,19.1176470588235,0.0882352941176471,37,134,650,22,183,1,"Wyoming",4.85074626865672,775,4287,35,41,403,0,8.31818181818182,9.8,5.5,816,NA,35,4690,5.7,1.10810810810811,10.8918918918919,0,20.9459459459459,115.864864864865,0.945945945945946,126.756756756757,0.945945945945946,1.66666666666667
"37",5,162,"TAM","Jeremy McNichols","RB",21,2020,0,9,2017,5.61,69,31.5,214,10,4.49,NA,35.5,121,6.93,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222222222,0.888888888888889,0,1.66666666666667,4.77777777777778,0,34,15,43,2,8,0,"Boise St.",2.86666666666667,571,3205,44,103,1089,11,4,10.6,5.6,674,NA,55,4294,6.4,3.02941176470588,32.0294117647059,0.323529411764706,16.7941176470588,94.2647058823529,1.29411764705882,126.294117647059,1.61764705882353,0
"38",5,179,"ARI","T.J. Logan","RB",23,2019,0,22,2017,5.3,69,32,196,9,4.37,17,33.5,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409090909090909,2.27272727272727,0,0.227272727272727,0.545454545454545,0,49,5,12,9,50,0,"North Carolina",2.4,398,2165,19,76,663,4,5.55555555555556,8.7,5.4,474,NA,23,2828,6,1.55102040816327,13.530612244898,0.0816326530612245,8.12244897959184,44.1836734693878,0.387755102040816,57.7142857142857,0.469387755102041,0
"39",5,182,"GNB","Aaron Jones","RB",22,2020,20,44,2017,NA,69,32.5,208,9.5,4.56,16,37.5,127,6.82,NA,NA,NA,NA,NA,NA,NA,NA,2.25,19.0227272727273,0.136363636363636,11.7045454545455,59.8636363636364,0.727272727272727,35,515,2634,99,837,6,"Texas-El Paso",5.11456310679612,658,4114,33,71,646,7,8.45454545454546,9.1,6.3,729,NA,40,4760,6.5,2.02857142857143,18.4571428571429,0.2,18.8,117.542857142857,0.942857142857143,136,1.14285714285714,6.66666666666667
"40",6,188,"NYJ","Elijah McGuire","RB",23,2018,6,24,2017,5.23,70,31,214,9,4.53,15,36,120,7.26,NA,NA,NA,NA,NA,NA,NA,NA,1.5,15.4166666666667,0.0833333333333333,7.5,24.625,0.166666666666667,51,180,591,36,370,2,"Louisiana",3.28333333333333,710,4301,42,130,1394,10,10.2777777777778,10.7,6.1,840,NA,52,5695,6.8,2.54901960784314,27.3333333333333,0.196078431372549,13.921568627451,84.3333333333333,0.823529411764706,111.666666666667,1.01960784313725,2
