"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"32",7,243,"SEA","Kenny Lawler","WR",22,NA,NA,NA,2016,5.46,74,33.375,203,10.5,4.64,NA,31,111,7.13,2,29,NA,36,40,22,11,5,34,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,2,15,0,143,1706,27,NA,11.9,7.5,145,NA,27,1721,11.9,4.20588235294118,50.1764705882353,0.794117647058823,0.0588235294117647,0.441176470588235,0,50.6176470588235,0.794117647058823,NA
"33",1,5,"TEN","Corey Davis","WR",22,2020,14,45,2017,6.23,75,33,209,9.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,6,55,157,2073,7,"West. Michigan",9.16666666666667,3.48888888888889,46.0666666666667,0.155555555555556,0.133333333333333,1.22222222222222,0,3,13,0,331,5278,52,13.203821656051,15.9,4.3,334,NA,52,5291,15.8,6.62,105.56,1.04,0.06,0.26,0,105.82,1.04,4.66666666666667
"34",1,7,"LAC","Mike Williams","WR",22,2020,15,45,2017,6.32,76,33.375,218,9.375,NA,15,32.5,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,8,30,115,1969,14,"Clemson",3.75,2.55555555555556,43.7555555555556,0.311111111111111,0.177777777777778,0.666666666666667,0.0222222222222222,0,0,0,177,2727,21,17.1217391304348,15.4,NA,177,NA,21,2727,15.4,4.65789473684211,71.7631578947368,0.552631578947368,0,0,0,71.7631578947368,0.552631578947368,5
"35",1,9,"CIN","John Ross","WR",22,2020,5,26,2017,6.19,71,31.5,188,8.75,4.22,NA,37,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,8,25,51,733,10,"Washington",3.125,1.96153846153846,28.1923076923077,0.384615384615385,0.307692307692308,0.961538461538462,0,20,195,2,114,1729,22,14.3725490196078,15.2,9.8,134,NA,24,1924,14.4,2.85,43.225,0.55,0.5,4.875,0.05,48.1,0.6,1.66666666666667
"36",2,37,"BUF","Zay Jones","WR",22,2020,10,51,2017,5.55,74,32.5,201,9,4.45,15,36.5,133,6.79,NA,NA,NA,NA,NA,NA,NA,NA,49,2,3,119,1265,10,"East Carolina",1.5,2.33333333333333,24.8039215686275,0.196078431372549,0.0392156862745098,0.0588235294117647,0,5,18,0,399,4279,23,10.6302521008403,10.7,3.6,404,NA,23,4297,10.6,8.14285714285714,87.3265306122449,0.469387755102041,0.102040816326531,0.36734693877551,0,87.6938775510204,0.469387755102041,3.33333333333333
"37",2,40,"CAR","Curtis Samuel","WR",21,2020,12,43,2017,5.73,71,31.25,196,9.5,4.31,18,37,119,7.09,NA,NA,NA,NA,NA,NA,NA,NA,30,46,341,127,1419,11,"Ohio St.",7.41304347826087,2.95348837209302,33,0.255813953488372,1.06976744186047,7.93023255813953,0.0697674418604651,172,1286,15,107,1249,9,11.1732283464567,11.7,7.5,279,NA,24,2535,9.1,3.56666666666667,41.6333333333333,0.3,5.73333333333333,42.8666666666667,0.5,84.5,0.8,4
"38",2,62,"PIT","JuJu Smith-Schuster","WR",20,2020,24,46,2017,5.85,73,32.875,215,10.5,4.54,15,32.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,13,232,3083,20,"USC",13,5.04347826086957,67.0217391304348,0.434782608695652,0.0217391304347826,0.282608695652174,0,8,34,0,213,3092,25,13.2887931034483,14.5,4.3,221,NA,25,3126,14.1,7.1,103.066666666667,0.833333333333333,0.266666666666667,1.13333333333333,0,104.2,0.833333333333333,8
"39",3,69,"LAR","Cooper Kupp","WR",24,2020,23,44,2017,5.81,74,31.5,204,9.5,4.62,NA,31,116,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,46,224,2959,23,"East. Washington",5.11111111111111,5.09090909090909,67.25,0.522727272727273,0.204545454545455,1.04545454545455,0,NA,NA,NA,NA,NA,NA,13.2098214285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66666666666667
"40",3,72,"TEN","Taywan Taylor","WR",22,2019,6,32,2017,5.66,71,32.625,203,9.25,4.5,13,33.5,132,6.57,NA,NA,NA,NA,NA,NA,NA,NA,50,8,43,53,697,2,"Western Kentucky",5.375,1.65625,21.78125,0.0625,0.25,1.34375,0,14,49,0,253,4234,41,13.1509433962264,16.7,3.5,267,NA,41,4283,16,5.06,84.68,0.82,0.28,0.98,0,85.66,0.82,2
"41",3,79,"NYJ","ArDarius Stewart","WR",23,2017,1,15,2017,NA,71,32.5,204,9.375,4.49,NA,34,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,27,6,82,0,"Alabama",3.85714285714286,0.4,5.46666666666667,0,0.466666666666667,1.8,0,NA,NA,NA,NA,NA,NA,13.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333
"42",3,82,"DEN","Carlos Henderson","WR",22,NA,NA,NA,2017,5.49,71,31.375,199,9.125,4.46,13,36,131,7.18,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,"Louisiana Tech",NA,NA,NA,NA,NA,NA,NA,32,259,2,147,2878,28,NA,19.6,8.1,179,NA,30,3137,17.5,4.08333333333333,79.9444444444444,0.777777777777778,0.888888888888889,7.19444444444444,0.0555555555555556,87.1388888888889,0.833333333333333,NA
