"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","Int","Sk","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"11",3,68,"SFO","Will Redmond","CB",22,2020,2,22,2016,5.6,71,30.375,182,9.125,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,27,"Mississippi St.",35,1.59090909090909,NA,NA,NA,NA,69,30,5.5,0,5,43,0,8,0,0,2.55555555555556,1.11111111111111,3.66666666666667,0.203703703703704,0,0.296296296296296,0,0.185185185185185,0.5
"12",3,74,"KAN","KeiVarae Russell","CB",22,2018,2,20,2016,5.59,71,31.625,192,10,NA,17,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,"Notre Dame",19,0.95,NA,0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"13",3,77,"CAR","Daryl Worley","CB",21,2020,18,61,2016,5.36,73,33.375,204,10.25,4.64,14,35.5,123,6.98,1,27,16,15,13,11,10,1,33,"West Virginia",206,3.37704918032787,0.0327868852459016,0.0819672131147541,5,2,125,18,9,0,10,50,0,21,1,2,3.78787878787879,0.545454545454545,4.33333333333333,0.272727272727273,0,0.636363636363636,0.0606060606060606,0.303030303030303,4.5
"14",3,84,"WAS","Kendall Fuller","CB",21,2020,11,58,2016,5.64,71,31.5,187,10,NA,15,NA,NA,NA,2,NA,13,NA,NA,NA,NA,NA,29,"Virginia Tech",177,3.05172413793103,0.0172413793103448,0.155172413793103,9,1,73,46,8,3.5,8,48,1,25,2,2,2.51724137931034,1.58620689655172,4.10344827586207,0.275862068965517,0.120689655172414,0.862068965517241,0.0689655172413793,0.275862068965517,2.75
"15",3,92,"ARI","Brandon Williams","CB",23,2020,4,47,2016,5.22,71,32.5,197,8.625,4.37,18,30.5,118,6.85,33,3,7,31,23,5,14,8,43,"Texas A&M",32,0.680851063829787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16",4,104,"BAL","Tavon Young","CB",22,2020,10,33,2016,5.15,69,30.625,183,9.125,4.46,9,34.5,118,6.8,16,9,28,24,23,3,1,7,43,"Temple",81,2.45454545454545,0.0606060606060606,0.0909090909090909,3,2,101,26,8,2.5,7,157,1,21,1,1,2.34883720930233,0.604651162790698,2.95348837209302,0.186046511627907,0.0581395348837209,0.488372093023256,0.0232558139534884,0.162790697674419,2.5
"17",4,106,"KAN","Eric Murray","CB",22,2020,7,59,2016,5.31,71,31.75,199,9,4.49,15,39.5,124,7.08,24,14,13,3,7,15,5,5,40,"Minnesota",114,1.93220338983051,0.0338983050847458,0.0169491525423729,1,2,142,50,7,1,2,5,0,24,3,3,3.55,1.25,4.8,0.175,0.025,0.6,0.075,0.05,1.75
"18",4,108,"TAM","Ryan Smith","CB",23,2020,8,62,2016,5.14,71,30.5,189,8.875,4.47,18,36,122,6.88,29,12,7,12,16,6,8,3,NA,"North Carolina Central",95,1.53225806451613,NA,0.0161290322580645,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"19",4,118,"NYJ","Juston Burris","CB",23,2020,7,57,2016,5.42,72,31.5,212,8.875,4.53,19,36.5,122,7.1,29,21,2,10,16,17,23,11,37,"North Carolina St.",74,1.29824561403509,0.0175438596491228,0.087719298245614,5,1,89,32,5,0,3,6,0,18,1,2,2.40540540540541,0.864864864864865,3.27027027027027,0.135135135135135,0,0.486486486486487,0.0540540540540541,0.0810810810810811,1.75
"20",4,127,"CHI","Deiondre' Hall","CB",22,2018,2,23,2016,5.46,74,34.375,199,9.75,4.68,NA,37,127,7.07,4,30,NA,8,4,14,6,NA,NA,"Northern Iowa",10,0.434782608695652,NA,0.0434782608695652,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
